EIGENVECTOR1.X d	EIGENVECTOR1.Y d	EIGENVECTOR1.Z d	EIGENVECTOR2.X d	EIGENVECTOR2.Y d	EIGENVECTOR2.Z d	EIGENVECTOR3.X d	EIGENVECTOR3.Y d	EIGENVECTOR3.Z d	EIGENVALUE.X d	EIGENVALUE.Y d	EIGENVALUE.Z d	S_1.DIPDIR d	S_1.DIP d	S_2.DIPDIR d	S_2.DIP d	S_3.DIPDIR d	S_3.DIP d	stressratio d	delvaux_str d	regime s	delvaux_rgm s	shmax d	shmin d
-0.05456744	-0.05375305	-0.99706219	0.69077420	0.71900517	-0.07656744	0.72100860	-0.69292293	-0.00210305	1.00840870	-0.42575154	-0.58265715	225.43076371	85.60705141	43.85279997	4.39128922	133.86205324	0.12049626	0.09861667	0.09861667	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205324
-0.05456745	-0.05375305	-0.99706219	0.69077420	0.71900517	-0.07656744	0.72100860	-0.69292293	-0.00210306	1.00840870	-0.42575154	-0.58265715	225.43076573	85.60705141	43.85280003	4.39128921	133.86205330	0.12049641	0.09861667	0.09861667	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205330
-0.05456745	-0.05375305	-0.99706219	0.69077420	0.71900516	-0.07656744	0.72100859	-0.69292293	-0.00210306	1.00840870	-0.42575154	-0.58265715	225.43076739	85.60705142	43.85280007	4.39128920	133.86205336	0.12049653	0.09861666	0.09861666	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205336
-0.05456745	-0.05375304	-0.99706219	0.69077420	0.71900516	-0.07656744	0.72100859	-0.69292293	-0.00210306	1.00840870	-0.42575154	-0.58265715	225.43076874	85.60705142	43.85280011	4.39128920	133.86205340	0.12049663	0.09861666	0.09861666	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205340
-0.05456745	-0.05375304	-0.99706219	0.69077420	0.71900516	-0.07656744	0.72100859	-0.69292293	-0.00210306	1.00840870	-0.42575154	-0.58265715	225.43076985	85.60705142	43.85280014	4.39128919	133.86205344	0.12049671	0.09861666	0.09861666	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205344
-0.05456745	-0.05375304	-0.99706219	0.69077420	0.71900516	-0.07656744	0.72100859	-0.69292293	-0.00210306	1.00840870	-0.42575155	-0.58265715	225.43077076	85.60705143	43.85280016	4.39128919	133.86205347	0.12049678	0.09861666	0.09861666	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205347
-0.05456745	-0.05375304	-0.99706219	0.69077420	0.71900516	-0.07656744	0.72100859	-0.69292293	-0.00210306	1.00840870	-0.42575155	-0.58265715	225.43077150	85.60705143	43.85280018	4.39128919	133.86205349	0.12049684	0.09861666	0.09861666	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205349
-0.05456745	-0.05375304	-0.99706219	0.69077420	0.71900516	-0.07656744	0.72100859	-0.69292293	-0.00210307	1.00840870	-0.42575155	-0.58265715	225.43077211	85.60705143	43.85280020	4.39128918	133.86205351	0.12049688	0.09861666	0.09861666	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205351
-0.05456745	-0.05375304	-0.99706219	0.69077420	0.71900516	-0.07656744	0.72100859	-0.69292293	-0.00210307	1.00840870	-0.42575155	-0.58265715	225.43077261	85.60705143	43.85280021	4.39128918	133.86205353	0.12049692	0.09861666	0.09861666	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205353
-0.05456745	-0.05375304	-0.99706219	0.69077421	0.71900516	-0.07656744	0.72100859	-0.69292293	-0.00210307	1.00840870	-0.42575155	-0.58265715	225.43077302	85.60705143	43.85280022	4.39128918	133.86205354	0.12049695	0.09861666	0.09861666	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86205354
