ID s	INT d	DIP d	FREQ d	FREQ_NRM d	FREQ_MAX d
W_TST_0673	4.28000000	51.43000000	0.18631603	0.00186156	100.08580460
W_TST_0671	0.26000000	21.43000000	9.79912175	0.09790721	100.08580460
W_TST_0669	0.51000000	16.21000000	6.74466982	0.06738888	100.08580460
W_TST_0668	0.23000000	32.24000000	6.89355301	0.06887643	100.08580460
W_TST_0667	0.21000000	8.22000000	32.96381766	0.32935557	100.08580460
W_TST_0666	0.37000000	29.68000000	4.74218778	0.04738122	100.08580460
W_TST_0665	0.16000000	22.88000000	14.81024239	0.14797545	100.08580460
W_TST_0663	0.66000000	59.92000000	0.87759615	0.00876844	100.08580460
W_TST_0658	0.33000000	16.70000000	10.10052602	0.10091867	100.08580460
W_TST_0657	0.37000000	12.09000000	12.61772584	0.12606909	100.08580460
W_TST_0656	0.43000000	18.09000000	7.11933273	0.07113229	100.08580460
W_TST_0655	0.70000000	13.48000000	5.95959194	0.05954483	100.08580460
W_TST_0654	0.87000000	52.84000000	0.87119717	0.00870450	100.08580460
W_TST_0653	0.30000000	4.18000000	3.33333333	0.03330476	100.08580460
W_TST_0652	0.40000000	15.55000000	8.98425610	0.08976554	100.08580460
W_TST_0647	0.28000000	53.89000000	2.60528542	0.02603052	100.08580460
W_TST_0642	0.38000000	12.16000000	12.21280688	0.12202337	100.08580460
W_TST_0640	0.21000000	17.82000000	14.81382874	0.14801129	100.08580460
W_TST_0638	0.37000000	33.32000000	4.11134344	0.04107819	100.08580460
W_TST_0636	0.66000000	20.04000000	4.15381935	0.04150258	100.08580460
W_TST_0634	0.45000000	25.13000000	4.73747753	0.04733416	100.08580460
W_TST_0633	0.64000000	1.07000000	1.56250000	0.01561160	100.08580460
W_TST_0632	0.92000000	34.56000000	1.57798894	0.01576636	100.08580460
W_TST_0631	0.62000000	13.07000000	6.94751533	0.06941559	100.08580460
W_TST_0630	1.30000000	2.70000000	0.76923077	0.00768571	100.08580460
W_TST_0629	0.71000000	39.35000000	1.71772997	0.01716257	100.08580460
W_TST_0628	1.63000000	10.03000000	3.46869257	0.03465719	100.08580460
W_TST_0627	3.72000000	59.26000000	0.15986591	0.00159729	100.08580460
W_TST_0626	2.58000000	24.06000000	0.86810917	0.00867365	100.08580460
W_TST_0625	1.78000000	28.40000000	1.03902321	0.01038132	100.08580460
W_TST_0623	0.71000000	58.07000000	0.87770687	0.00876954	100.08580460
W_TST_0622	0.34000000	27.00000000	5.77238384	0.05767435	100.08580460
W_TST_0621	0.52000000	0.01000000	1.92307692	0.01921428	100.08580460
W_TST_0619	0.13000000	9.90000000	44.07493575	0.44037150	100.08580460
W_TST_0618	1.05000000	50.77000000	0.77757367	0.00776907	100.08580460
