GROUP i	CENTER.A.X d	CENTER.A.Y d	CENTER.B.X d	CENTER.B.Y d	CENTER.C.X d	CENTER.C.Y d	COUNT i
2	0.17151028	-0.97268314	0.24615154	-0.91865005	0.12413779	-0.94292010	0
2	0.05742897	-0.98601733	0.12413779	-0.94292010	0.00000000	-0.95105652	0
2	-0.05742897	-0.98601733	0.00000000	-0.95105652	-0.12413779	-0.94292010	0
2	-0.17151028	-0.97268314	-0.12413779	-0.94292010	-0.24615154	-0.91865005	0
2	-0.28327221	-0.94619507	-0.24615154	-0.91865005	-0.36395357	-0.87866165	0
3	-0.49384417	-0.85536319	-0.39120337	-0.90691134	-0.47552826	-0.82363910	0
4	-0.47552826	-0.82363910	-0.39120337	-0.90691134	-0.36395357	-0.87866165	0
1	0.36395357	-0.87866165	0.47552826	-0.82363910	0.44550326	-0.77163428	0
1	0.24615154	-0.91865005	0.36395357	-0.87866165	0.32552124	-0.82941458	0
1	0.12413779	-0.94292010	0.24615154	-0.91865005	0.19826760	-0.86866713	0
1	0.00000000	-0.95105652	0.12413779	-0.94292010	0.06658500	-0.88851509	0
1	-0.12413779	-0.94292010	0.00000000	-0.95105652	-0.06658500	-0.88851509	0
1	-0.24615154	-0.91865005	-0.12413779	-0.94292010	-0.19826760	-0.86866713	0
1	-0.36395357	-0.87866165	-0.24615154	-0.91865005	-0.32552124	-0.82941458	0
2	0.36395357	-0.87866165	0.44550326	-0.77163428	0.32552124	-0.82941458	0
2	0.24615154	-0.91865005	0.32552124	-0.82941458	0.19826760	-0.86866713	0
2	0.12413779	-0.94292010	0.19826760	-0.86866713	0.06658500	-0.88851509	0
2	0.00000000	-0.95105652	0.06658500	-0.88851509	-0.06658500	-0.88851509	0
2	-0.12413779	-0.94292010	-0.06658500	-0.88851509	-0.19826760	-0.86866713	0
2	-0.24615154	-0.91865005	-0.19826760	-0.86866713	-0.32552124	-0.82941458	0
3	-0.47552826	-0.82363910	-0.36395357	-0.87866165	-0.44550326	-0.77163428	0
4	-0.44550326	-0.77163428	-0.36395357	-0.87866165	-0.32552124	-0.82941458	0
