DEPTH d	SIZE i	MIN d	MAX d	INT_AV_D.X d	INT_AV_D.Y d	INT_AV_D.Z d	INT_AV_DD.DIPDIR d	INT_AV_DD.DIP d	INT_AV_DD_STDEV d	INT_AV_D_STDEV d	DD_DERIV d	D_DERIV d
1480.14000000	15	1474.84000000	1494.84000000	-0.51633901	0.84965196	-0.10717073	328.71267846	6.15224601	45.49763722	4.34972424	0.10753933	0.02052050
1480.30000000	14	1475.84000000	1495.84000000	-0.54130937	0.83321278	-0.11287438	326.98961833	6.48103786	44.10696524	4.38082699	0.01633037	0.01051754
1481.30500000	13	1476.84000000	1496.84000000	-0.56607324	0.81892055	-0.09449981	325.34609792	5.42253138	62.02582714	3.97322920	0.03140227	0.02340677
1481.66000000	12	1477.84000000	1497.84000000	-0.58266154	0.80876472	-0.08003221	324.22974232	4.59041698	64.61360815	3.08524006	0.02577470	0.00734036
1482.67000000	10	1478.84000000	1498.84000000	-0.61943599	0.78217348	-0.06710967	321.62281992	3.84799290	70.92386946	3.13017877	0.13315419	0.01116027
1483.49000000	10	1479.84000000	1499.84000000	-0.75727005	0.65109636	-0.05114301	310.68875047	2.93155780	78.02688166	3.02499639	0.73911250	0.04153316
1483.73000000	8	1480.84000000	1500.84000000	-0.92049131	0.38930394	-0.03373698	292.92498885	1.93335358	82.03206145	2.89167610	0.24271396	0.00419533
1486.51000000	6	1481.84000000	1501.84000000	-0.71141308	-0.70264713	-0.01335843	225.35517971	0.76540461	89.90106428	2.09760161	0.00084644	0.00118456
1491.49500000	5	1482.84000000	1502.84000000	-0.71643864	-0.69724820	-0.02367738	225.77772763	1.35674060	57.55051304	1.74757123	0.00713608	0.00044960
1497.99500000	3	1483.84000000	1503.84000000	-0.65753292	-0.75287580	-0.02878342	221.13271950	1.64939609	66.82965510	1.95181908	0.12908942	0.00616905
1499.51000000	4	1484.84000000	1504.84000000	-0.36690740	-0.92916323	-0.04510718	201.54804151	2.58532815	58.33624858	1.88551040	0.00000000	0.00000000
1499.51000000	4	1485.84000000	1505.84000000	-0.36690740	-0.92916323	-0.04510718	201.54804151	2.58532815	58.33624858	1.88551040	0.08279617	0.00405842
1501.97000000	3	1486.84000000	1506.84000000	-0.02005518	-0.99784149	-0.06253115	181.15140809	3.58510984	38.33982195	1.35523831	0.00000000	0.00000000
1501.97000000	3	1487.84000000	1507.84000000	-0.02005518	-0.99784149	-0.06253115	181.15140809	3.58510984	38.33982195	1.35523831	0.00000000	0.00000000
1501.97000000	3	1488.84000000	1508.84000000	-0.02005518	-0.99784149	-0.06253115	181.15140809	3.58510984	38.33982195	1.35523831	0.00000000	0.00000000
1501.97000000	3	1489.84000000	1509.84000000	-0.02005518	-0.99784149	-0.06253115	181.15140809	3.58510984	38.33982195	1.35523831	0.00000000	0.00000000
