DEPTH d	FREQ d	DERIV_DEPTH d	DERIV d
1445.40500000	0.37515789	1459.76750000	0.00795475
1474.13000000	0.00230337	1488.57000000	0.00720067
1503.01000000	0.34163388	1504.41250000	0.06425112
1505.81500000	0.04755329	1508.86500000	0.00285951
1511.91500000	0.01909073	1514.25000000	0.00965203
1516.58500000	0.09264172	1517.14250000	0.49871351
1517.70000000	1.00000000	1517.93750000	1.00000000
1518.17500000	0.22492020	1518.57250000	0.00507541
1518.97000000	0.23150422	1519.45250000	0.04193181
1519.93500000	0.16547688	1520.97750000	0.03314222
1522.02000000	0.05272067	1523.03750000	0.04102021
1524.05500000	0.18893260	1525.28750000	0.03666676
1526.52000000	0.04144947	1528.12000000	0.01035418
1529.72000000	0.09551477	1530.57000000	0.05889811
1531.42000000	0.25889634	1536.97000000	0.01381631
1542.52000000	0.00864988	1548.30000000	0.00600806
1554.08000000	0.12197986	1554.92500000	0.00018190
1555.77000000	0.12147826	1560.10000000	0.00773527
1564.43000000	0.01217168	1572.79750000	0.00004985
1581.16500000	0.01081041	1590.70500000	0.00005581
1600.24500000	0.00907287	1612.15750000	0.00000418
1624.07000000	0.00891038	1656.30500000	0.00006967
1688.54000000	0.00158096	1724.82000000	0.00003373
1761.10000000	0.00557411	1772.42250000	0.00207936
1783.74500000	0.08240828	NAN	NAN
1367.92500000	0.01483822	1369.22500000	0.00165476
1370.52500000	0.02746678	1371.04250000	0.01421214
1371.56000000	0.07064318	1373.15250000	0.00577842
1374.74500000	0.01662184	1377.58750000	0.00064234
1380.43000000	0.00590310	1382.64500000	0.00032636
1384.86000000	0.01014677	1385.80750000	0.02622451
1386.75500000	0.15601583	1387.32500000	0.04197866
1387.89500000	0.01554701	1389.00500000	0.00065768
1390.11500000	0.01126142	1391.05000000	0.00633485
1391.98500000	0.04603302	1392.30250000	0.10335310
1392.62000000	0.23867183	1393.41750000	0.04434314
1394.21500000	0.03106881	1395.00250000	0.04353806
1395.79000000	0.23234675	1395.93750000	0.16554962
1396.08500000	0.08899706	1396.22750000	0.05714464
1396.37000000	0.13680136	1396.53500000	0.07151332
1396.70000000	0.06753100	1398.13250000	0.00708763
1399.56500000	0.00792743	1401.13250000	0.00424176
1402.70000000	0.04696024	1403.06750000	0.01348092
1403.43500000	0.07604419	1403.70750000	0.00782875
1403.98000000	0.08856797	1404.33750000	0.01709699
1404.69500000	0.05268633	1405.15000000	0.00335858
1405.60500000	0.06165740	1407.32250000	0.00575368
1409.04000000	0.00364522	1410.75750000	0.00210730
1412.47500000	0.02489235	1412.87250000	0.01339978
1413.27000000	0.05616116	1413.60000000	0.00626770
1413.93000000	0.04401893	1414.13750000	0.13842571
1414.34500000	0.21263982	1414.45000000	0.20101528
1414.55500000	0.08873309	1414.75250000	0.03238760
1414.95000000	0.12628417	1418.85000000	0.00536290
1422.75000000	0.00350049	1426.60500000	0.00456420
