GROUP i	CENTER.A.X d	CENTER.A.Y d	CENTER.A.Z d	CENTER.B.X d	CENTER.B.Y d	CENTER.B.Z d	CENTER.C.X d	CENTER.C.Y d	CENTER.C.Z d	COUNT i
1	0.42661152	-0.15527390	-0.89100652	0.45399050	0.00000000	-0.89100652	0.30901699	0.00000000	-0.95105652	0
1	0.34777690	-0.29181947	-0.89100652	0.42661152	-0.15527390	-0.89100652	0.26761657	-0.15450850	-0.95105652	0
2	0.42661152	-0.15527390	-0.89100652	0.30901699	0.00000000	-0.95105652	0.26761657	-0.15450850	-0.95105652	0
3	0.22699525	-0.39316731	-0.89100652	0.34777690	-0.29181947	-0.89100652	0.15450850	-0.26761657	-0.95105652	0
4	0.15450850	-0.26761657	-0.95105652	0.34777690	-0.29181947	-0.89100652	0.26761657	-0.15450850	-0.95105652	0
1	0.26761657	-0.15450850	-0.95105652	0.30901699	0.00000000	-0.95105652	0.15643447	0.00000000	-0.98768834	0
3	0.15450850	-0.26761657	-0.95105652	0.26761657	-0.15450850	-0.95105652	0.07821723	-0.13547622	-0.98768834	0
4	0.07821723	-0.13547622	-0.98768834	0.26761657	-0.15450850	-0.95105652	0.15643447	0.00000000	-0.98768834	0
5	0.07821723	-0.13547622	-0.98768834	0.15643447	0.00000000	-0.98768834	0.00000000	0.00000000	1.00000000	0
6	1.00000000	0.00000000	0.00000000	0.99452190	-0.10452846	0.00000000	1.08003361	-0.05660216	999.99000000	0
6	0.99452190	-0.10452846	0.00000000	0.97814760	-0.20791169	0.00000000	1.06820053	-0.16918634	999.99000000	0
6	0.97814760	-0.20791169	0.00000000	0.95105652	-0.30901699	0.00000000	1.04466403	-0.27991688	999.99000000	0
6	0.95105652	-0.30901699	0.00000000	0.91354546	-0.40673664	0.00000000	1.00968197	-0.38758059	999.99000000	0
